Word,Frequency
the,7
project,3
gutenberg,3
ebook,4
of,4
moby,3
dick;,3
or,5
"whale,",1
by,1
herman,2
melville,2
this,3
is,1
for,1
use,1
anyone,1
anywhere,1
at,2
no,2
cost,1
and,1
with,2
almost,1
restrictions,1
whatsoever.,1
you,1
may,1
copy,1
"it,",1
give,1
it,2
away,1
re-use,1
under,1
terms,1
license,1
included,1
online,1
www.gutenberg.org,1
title:,1
whale,2
author:,1
release,1
date:,1
december,2
"25,",1
2008,1
[ebook,1
#2701],1
last,1
updated:,1
"3,",1
2017,1
language:,1
english,1
character,1
set,1
encoding:,1
utf-8,1
***,2
start,1
